headword,type,cefr,meaning,ipa,example,image_link,topic
ethic,noun,B2,a set of moral principles or values,/'e??k/,He has a strong work ethic.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
ethnic,adjective,B2,relating to a particular race or culture,/'e?n?k/,The city has many ethnic groups.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
euro,noun,A2,the official currency of many European countries,/'j??r??/,The price is 10 euros.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
evacuate,verb,B2,to move people from a dangerous place to safety,/?'v?jue?t/,They evacuated the building during the fire.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
evacuation,noun,B2,the act of moving people from a dangerous place to safety,/??v?ju'e??n/,The evacuation was orderly.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
evaluate,verb,B2,"to judge or calculate the quality, importance, or value of something",/?'v?jue?t/,The teacher will evaluate your work.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
evaluation,noun,B2,"the process of judging or calculating the quality, importance, or value of something",/??v?ju'e??n/,The evaluation took several days.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
even,adjective,B1,flat and smooth; equal; divisible by two,/'i?vn/,The table surface is even.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
even,adverb,A2,used to emphasize something surprising,/'i?vn/,She didn't even say goodbye.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
evening,noun,A1,the part of the day between late afternoon and night,/'i?vn??/,We went for a walk in the evening.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
evenly,adverb,B1,in equal amounts or spaces,/'i?vnli/,Divide the cake evenly.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
event,noun,A1,"something that happens, especially something important",/?'vent/,The concert was a big event.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
eventually,adverb,B1,"in the end, especially after a long time",/?'vent?u?li/,He eventually found his keys.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
ever,adverb,A2,at any time,/'ev?(r)/,Have you ever been to Paris?,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
everlasting,adjective,B2,lasting forever; never ending,/?ev?'l??st??/,They swore everlasting friendship.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
every,determiner,A1,all the individual members of a group,/'evri/,Every child needs love.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
everybody,pronoun,A1,every person,/'evrib?di/,Everybody is here.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
everyday,adjective,A1,ordinary; happening each day,/'evride?/,These are everyday problems.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
everyone,pronoun,A1,every person,/'evriw?n/,Everyone enjoyed the party.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
everything,pronoun,A1,all things,/'evri???/,Everything is ready.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
everywhere,adverb,A1,in or to all places,/'evriwe?(r)/,We looked everywhere for the keys.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
evidence,noun,A2,facts or information that show something is true,/'ev?d?ns/,There is no evidence of a crime.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
evident,adjective,B1,clear; easy to see or understand,/'ev?d?nt/,It is evident that he is tired.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
evidently,adverb,B2,clearly; obviously,/'ev?d?ntli/,She was evidently upset.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
evil,adjective,B2,morally bad or cruel,/'i?vl/,He played an evil character in the movie.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
evil,noun,B2,the force of bad actions or behavior,/'i?vl/,They tried to fight evil.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
evolution,noun,B2,the gradual development of something; the process by which living things change over time,/?i?v?'lu??n/,The evolution of technology is rapid.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
evolve,verb,B2,to develop or change gradually,/?'v?lv/,Languages evolve over time.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exact,adjective,B1,completely correct; precise,/?g'z?t/,What is the exact time?,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exactly,adverb,A2,in a correct or precise way,/?g'z?tli/,That's exactly what I mean.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exactness,noun,B2,the quality of being correct and precise,/?g'z?tn?s/,He answered with exactness.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exaggerate,noun,B2,"to make something seem larger, better, or worse than it really is",/?g'z???re?t/,He tends to exaggerate his achievements.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exaggeration,noun,B2,"a statement that makes something seem larger, better, or worse than it really is",/?g?z???'re??n/,His story was full of exaggeration.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exalt,verb,B2,to praise someone or something very much,/?g'z??lt/,The poem exalts the beauty of nature.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exam,noun,A2,a test of knowledge or ability,/?g'z?/,She passed the exam.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
examination,noun,B1,a formal test of knowledge or ability,/?g?z??'ne??n/,The examination lasted two hours.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
examine,verb,B1,to look at something carefully,/?g'z??n/,The doctor will examine you.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
examinee,noun,B2,a person who is taking an exam,/?g?z??'ni?/,The examinee answered all questions.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
examiner,noun,B1,a person who gives or marks an exam,/?g'z??n?(r)/,The examiner checked the papers.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
example,noun,A1,a thing that is typical of a group or set; something used to show what others are like,/?g'z??mpl/,This is an example of good work.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exceed,verb,B2,to be greater than a number or amount,/?k'si?d/,The speed limit was exceeded.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
excel,verb,B2,to be very good at something,/?k'sel/,She excels in mathematics.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
excellence,noun,B1,the quality of being extremely good,/'eks?l?ns/,The school is known for its excellence.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
excellent,adjective,A1,extremely good,/'eks?l?nt/,You did an excellent job.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
except,conjunction,A2,not including; other than,/?k'sept/,Everyone except John was there.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
except,preposition,A2,not including; other than,/?k'sept/,I work every day except Sunday.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exception,noun,B2,a person or thing that is not included in a general statement,/?k'sep?n/,There are no exceptions to the rule.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exceptional,adjective,B2,unusually good; not typical,/?k'sep??nl/,She is an exceptional student.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exceptionally,adverb,B2,in an unusual or very special way,/?k'sep??n?li/,The food was exceptionally good.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
excess,noun,B1,an amount that is more than necessary,/?k'ses/,He ate to excess.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
excessive,adjective,B2,more than is necessary or reasonable,/?k'ses?v/,The noise was excessive.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exchange,noun,A2,an act of giving one thing and receiving another,/?ks't?e?nd?/,They did a gift exchange.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exchange,verb,B1,to give something and receive something else in return,/?ks't?e?nd?/,They exchanged phone numbers.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exchange rate,noun,B1,the value of one currency for the purpose of conversion to another,/?ks't?e?nd? re?t/,The exchange rate is high today.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
excited,adjective,A1,very happy and interested,/?k'sa?t?d/,The children are excited about the trip.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
excitedly,adverb,B1,in a way that shows excitement,/?k'sa?t?dli/,She spoke excitedly about her plans.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
excitement,noun,B1,a feeling of great enthusiasm and eagerness,/?k'sa?tm?nt/,There was excitement in the air.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exciting,adjective,A1,causing great interest or excitement,/?k'sa?t??/,The game was exciting.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exclaim,verb,B2,to say something suddenly and loudly,/?k'skle?m/,'Wow!' she exclaimed.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exclamation mark,noun,B2,the punctuation mark (!) used to show strong feeling,/?ekskl?'me??n m??k/,Put an exclamation mark at the end.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exclude,verb,B2,to leave out; to not include,/?k'sklu?d/,They excluded him from the meeting.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exclusion,noun,B2,the act of not allowing someone or something to take part,/?k'sklu??n/,His exclusion was unfair.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exclusive,adjective,B1,limited to only one person or group,/?k'sklu?s?v/,This club is exclusive.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exclusively,adverb,B2,only; not including anything else,/?k'sklu?s?vli/,The offer is exclusively for members.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
excursion,noun,B2,a short journey made for pleasure,/?k'sk???n/,We went on a school excursion.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
excuse,noun,A1,a reason you give to explain why you did something wrong,/?k'skju?s/,He made an excuse for being late.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
excuse,verb,B1,to forgive someone for something wrong,/?k'skju?z/,Please excuse my mistake.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
execute,verb,B2,to carry out or perform a plan; to kill someone as a punishment,/'eks?kju?t/,The plan was executed perfectly.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
execution,noun,B2,the act of carrying out a plan; the act of killing someone as a punishment,/?eks?'kju??n/,The execution of the plan was flawless.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
executive,adjective,B2,relating to the job of managing a business or organization,/?g'zekj?t?v/,She has an executive position.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
executive,noun,B2,a person with an important job in a company,/?g'zekj?t?v/,He is a company executive.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exercise,noun,A2,physical activity to make your body strong and healthy,/'eks?sa?z/,He does exercise every morning.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exercise,verb,A1,to do physical activity to stay healthy,/'eks?sa?z/,She exercises at the gym.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exhaust,noun,B2,waste gases from an engine; a pipe for these gases,/?g'z??st/,The car's exhaust is noisy.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exhausted,adjective,B1,very tired,/?g'z??st?d/,She felt exhausted after work.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exhausting,adjective,B2,making you feel very tired,/?g'z??st??/,It was an exhausting day.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exhaustion,noun,B2,extreme tiredness,/?g'z??st??n/,He collapsed from exhaustion.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exhibit,verb,B2,to show something in public,/?g'z?b?t/,The artist will exhibit her paintings.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exhibition,noun,A2,an event where objects are shown to the public,/?eks?'b??n/,We visited the art exhibition.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exile,noun,B2,the state of being forced to live away from your country,/'eksa?l/,He lived in exile for many years.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exist,verb,A2,to be real; to be present,/?g'z?st/,Dinosaurs no longer exist.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
existence,noun,B1,the state of being real or present,/?g'z?st?ns/,The existence of life on Mars is unknown.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
existing,adjective,B2,present or being used now,/?g'z?st??/,We improved the existing system.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exit,noun,B1,a way out of a place,/'eks?t/,The exit is on the right.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exit,verb,B1,to go out of a place,/'eks?t/,Please exit through the back door.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exotic,adjective,B2,unusual and interesting because it comes from a distant country,/?g'z?t?k/,She wore an exotic dress.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
expand,verb,B1,to become larger or make something larger,/?k'sp?d/,The company plans to expand.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
expansion,noun,B2,the process of becoming larger,/?k'sp??n/,The expansion of the city is rapid.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
expect,verb,A2,to think that something will happen,/?k'spekt/,I expect it will rain today.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
expectation,noun,B2,a belief that something will happen,/?ekspek'te??n/,The expectation is high.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
expected,adjective,B2,thought to be likely to happen,/?k'spekt?d/,The expected result was achieved.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
expedition,noun,B2,a journey made for a special purpose,/?eksp?'d??n/,They went on an expedition to the Arctic.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
expense,noun,B1,the money needed to pay for something,/?k'spens/,Travel is a big expense.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
expensive,adjective,A1,costing a lot of money,/?k'spens?v/,This car is expensive.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
experience,noun,A2,"knowledge or skill from doing, seeing, or feeling things",/?k'sp??ri?ns/,She has a lot of experience.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
experience,verb,B1,to have something happen to you,/?k'sp??ri?ns/,He experienced many difficulties.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
experienced,adjective,B1,having skill or knowledge because you have done something many times,/?k'sp??ri?nst/,She is an experienced teacher.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
experiment,noun,B1,a scientific test to find out what happens to something in particular conditions,/?k'sper?m?nt/,The experiment was successful.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
experiment,verb,B2,to try something to see what result it has,/?k'sper?ment/,They experiment with new recipes.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
expert,adjective,B2,having or showing a lot of knowledge or skill,/'eksp??t/,She gave expert advice.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
expert,noun,A2,a person with a lot of knowledge or skill in something,/'eksp??t/,He is an expert in computers.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
explain,verb,A2,to make something clear or easy to understand,/?k'sple?n/,Can you explain this word?,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
explanation,noun,A2,a statement that makes something clear,/?ekspl?'ne??n/,She gave a good explanation.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
explode,verb,B2,to burst or make something burst with a loud noise,/?k'spl??d/,The bomb exploded.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exploit,verb,B2,to use something or someone unfairly for your own advantage,/?k'spl??t/,They exploit cheap labor.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exploration,noun,B1,the act of traveling to discover new places or things,/?ekspl?'re??n/,Space exploration is exciting.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
explore,verb,A2,to travel around a place to learn about it,/?k'spl??(r)/,They explored the island.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
explorer,noun,B2,a person who travels to new places to discover them,/?k'spl??r?(r)/,The explorer discovered a new land.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
explosion,noun,B1,"a sudden and violent burst, often with a loud noise",/?k'spl???n/,There was a loud explosion.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
explosive,adjective,B2,able or likely to explode,/?k'spl??s?v/,The material is highly explosive.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
explosive,noun,B2,a substance that can cause an explosion,/?k'spl??s?v/,Dynamite is an explosive.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
export,noun,B2,a product that is sent to another country to be sold,/'eksp??t/,Wheat is a major export.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
export,verb,B2,to send goods to another country to be sold,/?k'sp??t/,They export cars to Europe.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
expose,verb,B1,to show something that is usually hidden; to make something known,/?k'sp??z/,The report exposed the truth.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
express,noun,A2,a fast train or bus that only stops at a few places,/?k'spres/,Take the express to the city center.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
express,verb,B1,to show what you think or feel,/?k'spres/,He expressed his opinion.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
expression,noun,A2,a word or phrase; the look on someone's face; the act of showing feelings,/?k'spre?n/,She had a happy expression.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
expressive,adjective,B2,showing what someone thinks or feels,/?k'spres?v/,She has expressive eyes.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exquisite,adjective,B2,extremely beautiful or carefully made,/?k'skw?z?t/,The painting is exquisite.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
extend,verb,B1,to make something longer or larger,/?k'stend/,They will extend the deadline.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
extension,noun,B2,an extra part added to something; extra time,/?k'sten?n/,He asked for an extension on his visa.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
extensive,adjective,B2,large in amount or size,/?k'stens?v/,The damage was extensive.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
extensively,adverb,B1,in a way that covers a large area or has a great range,/?k'stens?vli/,He has traveled extensively.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
extent,noun,B1,the size or importance of something,/?k'stent/,The extent of the damage is unknown.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
external,adjective,B2,on or from the outside,/?k'st??nl/,The external walls need painting.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
extinct,adjective,B1,no longer existing,/?k'st??kt/,Dinosaurs are extinct.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
extinction,noun,B1,the process of a species dying out,/?k'st??k?n/,Many animals face extinction.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
extra,adjective,A2,more than is usual or needed,/'ekstr?/,We need extra chairs.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
extra,adverb,A2,more than usual,/'ekstr?/,She works extra hard.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
extra,noun,B1,something that is more than usual or needed,/'ekstr?/,There are no extras included.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
extract,noun,B2,"a short part taken from a book, speech, etc.; a substance taken from something",/'ekstr?t/,Read the extract from the article.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
extract,verb,B2,to remove or take out something,/?k'str?t/,The dentist extracted a tooth.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
extraordinarily,adverb,B2,in a very unusual or remarkable way,/?k?str??dn'er?li/,She is extraordinarily talented.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
extraordinary,adjective,B1,very unusual or remarkable,/?k'str??dnri/,He has extraordinary skills.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
extreme,adjective,B1,very great in degree; not usual,/?k'stri?m/,They went on an extreme adventure.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
extreme sports,noun,B1,sports that are dangerous and exciting,/?k'stri?m sp??ts/,He enjoys extreme sports like skydiving.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
extremely,adverb,A2,very; to a very great degree,/?k'stri?mli/,The test was extremely difficult.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
exultant,adjective,B2,"very happy and proud, especially because of success",/?g'z?lt?nt/,The team was exultant after the win.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
eye,noun,A1,the part of the body used for seeing,/a?/,She has blue eyes.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
eyebrow,noun,B2,the line of hair above the eye,/'a?bra?/,She raised her eyebrow in surprise.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
eyelash,noun,B2,one of the small hairs on the edge of the eyelid,/'a?l?/,She has long eyelashes.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
eyelid,noun,B2,the piece of skin that covers and protects the eye,/'a?l?d/,Her eyelids felt heavy.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
eyesight,noun,B1,the ability to see,/'a?sa?t/,He has good eyesight.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fabric,noun,B2,cloth or material for making clothes,/'f?r?k/,The dress is made of soft fabric.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fabulous,adjective,B2,extremely good or impressive,/'f?j?l?s/,The food was fabulous.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
face,noun,A1,"the front part of the head with eyes, nose, and mouth",/fe?s/,She washed her face.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
face,verb,A2,to deal with or confront something,/fe?s/,You must face your fears.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
face to face,adverb,B1,with the people involved being close together and looking at each other,/?fe?s t? 'fe?s/,They met face to face.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
face-to-face,adjective,B1,involving people who are close together and looking at each other,/?fe?s t? 'fe?s/,They had a face-to-face meeting.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
facilitate,verb,B2,to make something easier,/f?'s?l?te?t/,The new system will facilitate learning.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
facilities,noun,B2,"buildings, equipment, or services provided for a particular purpose",/f?'s?l?tiz/,The hotel has excellent facilities.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
facility,noun,B1,a place or building used for a particular activity,/f?'s?l?ti/,The sports facility is new.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fact,noun,A2,something that is true or can be proved,/f?t/,It is a fact that the earth is round.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
factor,noun,B2,one of the things that influences a result,/'f?t?(r)/,Price is a key factor.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
factory,noun,A1,a building where things are made,/'f?tri/,He works in a car factory.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
faculty,noun,B2,a group of teachers in a school or college; a natural ability,/'f??lti/,She is on the faculty of the university.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fade,verb,B1,to become less bright or strong,/fe?d/,The colors faded in the sun.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fail,verb,A2,to not succeed in what you are trying to do,/fe?l/,He failed the test.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
failure,noun,B1,lack of success,/'fe?lj?(r)/,The project was a failure.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
faint,adjective,B1,not strong or clear; weak,/fe?nt/,There was a faint smell of smoke.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
faint,verb,B2,to suddenly become unconscious,/fe?nt/,She fainted in the heat.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fair,adjective,A1,treating people equally; light in color; quite good,/fe?(r)/,She has fair hair.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fair,noun,B1,an event where people sell goods and have fun,/fe?(r)/,We went to the book fair.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fairly,adverb,A2,to some degree; in a fair way,/'fe?li/,The test was fairly easy.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fairy,noun,A1,an imaginary creature with magic powers,/'fe?ri/,The story is about a fairy.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
faith,noun,B2,strong belief or trust in someone or something,/fe??/,She has faith in her friends.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
faithful,adjective,B1,loyal; keeping promises,/'fe??fl/,He is a faithful friend.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fake,adjective,B1,not real; made to look like something real,/fe?k/,He bought a fake watch.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fall,noun,B1,the act of dropping down; autumn,/f??l/,He had a bad fall.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fall,verb,A2,to drop down from a higher place,/f??l/,The leaves fall in autumn.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fallen,adjective,B1,having dropped down,/'f??l?n/,The fallen leaves covered the ground.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
FALSE,adjective,A1,not true; incorrect,/f??ls/,The answer is false.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
falter,verb,B2,to lose strength or confidence,/'f??lt?(r)/,Her voice faltered as she spoke.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fame,noun,B2,the state of being known by many people,/fe?m/,She achieved fame as a singer.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
familiar,adjective,A2,well known or easily recognized,/f?'m?li?(r)/,The song sounds familiar.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
familiarize/familiarise,verb,B2,to learn about something so that you know it well,/f?'m?li?ra?z/,Familiarize yourself with the rules.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
family,noun,A1,a group of people who are related to each other,/'f??li/,My family is very important to me.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
famous,adjective,A1,known by many people,/'fe?m?s/,He is a famous actor.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fan,noun,A1,"a person who likes a particular sport, activity, or famous person; a device for moving air",/f?/,She is a football fan.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fancy,adjective,A2,expensive or decorative; not plain,/'f?si/,She wore a fancy dress.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fancy,noun,B1,something that you like or want; imagination,/'f?si/,He has a fancy for chocolate.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fancy,verb,B1,to want or like something; to imagine,/'f?si/,Do you fancy a cup of tea?,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fantastic,adjective,A2,extremely good; wonderful,/f?'t?t?k/,The view is fantastic.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fantastically,adverb,B2,extremely well or to a great degree,/f?'t?t?kli/,She did fantastically in the exam.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fantasy,noun,B1,a story or idea that is not real; imagination,/'f?t?si/,He lives in a world of fantasy.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
far,adjective,B2,distant in space or time,/f??(r)/,The station is far from here.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
far,adverb,A2,"at, to, or from a great distance",/f??(r)/,How far is it to London?,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
faraway,adjective,B1,distant; a long way from here,/'f??r?we?/,He comes from a faraway country.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
fare,noun,A2,"the money you pay to travel by bus, train, etc.",/fe?(r)/,The bus fare is $2.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
farewell,noun,B1,an act of saying goodbye,/?fe?'wel/,They had a farewell party.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
farm,noun,A1,land used for growing crops or raising animals,/f??m/,He works on a farm.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
farmer,noun,A1,a person who owns or manages a farm,/'f??m?(r)/,The farmer grows wheat.,https://images.unsplash.com/photo-1519125323398-675f0ddb6308,
